CustomerID,Total_Sales,Order_Count,Average_Order_Value,Cluster,Cluster Name
CUST0002,56710.0,6,9451.666666666666,0,Occasional / Lower-Value Customers
CUST0003,225305.0,9,25033.88888888889,0,Occasional / Lower-Value Customers
CUST0004,44825.0,4,11206.25,0,Occasional / Lower-Value Customers
CUST0005,63680.0,4,15920.0,0,Occasional / Lower-Value Customers
CUST0006,43780.0,3,14593.333333333334,0,Occasional / Lower-Value Customers
CUST0007,777815.0,21,37038.80952380953,1,Frequent Customers
CUST0008,19905.0,5,3981.0,0,Occasional / Lower-Value Customers
CUST0009,82990.0,7,11855.714285714286,0,Occasional / Lower-Value Customers
CUST0010,6345.0,2,3172.5,0,Occasional / Lower-Value Customers
CUST0011,73890.0,4,18472.5,0,Occasional / Lower-Value Customers
CUST0012,102447.5,10,10244.75,0,Occasional / Lower-Value Customers
CUST0013,140915.0,5,28183.0,0,Occasional / Lower-Value Customers
CUST0014,488870.0,15,32591.333333333332,1,Frequent Customers
CUST0015,97752.5,14,6982.321428571428,1,Frequent Customers
CUST0016,115105.0,7,16443.571428571428,0,Occasional / Lower-Value Customers
CUST0017,180075.0,5,36015.0,0,Occasional / Lower-Value Customers
CUST0018,654902.5,13,50377.11538461538,1,Frequent Customers
CUST0019,228815.0,9,25423.88888888889,0,Occasional / Lower-Value Customers
CUST0020,258320.0,11,23483.636363636364,1,Frequent Customers
CUST0021,192662.5,11,17514.772727272728,1,Frequent Customers
CUST0022,163710.0,5,32742.0,0,Occasional / Lower-Value Customers
CUST0023,101400.0,5,20280.0,0,Occasional / Lower-Value Customers
CUST0024,280685.0,14,20048.928571428572,1,Frequent Customers
CUST0025,117080.0,8,14635.0,0,Occasional / Lower-Value Customers
CUST0026,148087.5,10,14808.75,0,Occasional / Lower-Value Customers
CUST0027,342440.0,5,68488.0,2,High-AOV Customers
CUST0028,119240.0,7,17034.285714285714,0,Occasional / Lower-Value Customers
CUST0029,306400.0,4,76600.0,2,High-AOV Customers
CUST0030,67550.0,5,13510.0,0,Occasional / Lower-Value Customers
CUST0031,496815.0,13,38216.53846153846,1,Frequent Customers
CUST0032,18205.0,3,6068.333333333333,0,Occasional / Lower-Value Customers
CUST0033,428940.0,6,71490.0,2,High-AOV Customers
CUST0034,208135.0,8,26016.875,0,Occasional / Lower-Value Customers
CUST0035,107375.0,5,21475.0,0,Occasional / Lower-Value Customers
CUST0036,239887.5,8,29985.9375,0,Occasional / Lower-Value Customers
CUST0037,122600.0,4,30650.0,0,Occasional / Lower-Value Customers
CUST0038,107775.0,12,8981.25,1,Frequent Customers
CUST0039,317150.0,16,19821.875,1,Frequent Customers
CUST0040,167587.5,8,20948.4375,0,Occasional / Lower-Value Customers
CUST0041,52507.5,9,5834.166666666667,0,Occasional / Lower-Value Customers
CUST0042,245775.0,4,61443.75,2,High-AOV Customers
CUST0043,81360.0,5,16272.0,0,Occasional / Lower-Value Customers
CUST0044,395250.0,8,49406.25,2,High-AOV Customers
CUST0045,149850.0,5,29970.0,0,Occasional / Lower-Value Customers
CUST0046,244190.0,6,40698.333333333336,0,Occasional / Lower-Value Customers
CUST0047,214977.5,14,15355.535714285714,1,Frequent Customers
CUST0048,111897.5,7,15985.357142857143,0,Occasional / Lower-Value Customers
CUST0049,216015.0,6,36002.5,0,Occasional / Lower-Value Customers
CUST0050,66110.0,4,16527.5,0,Occasional / Lower-Value Customers
CUST0051,234975.0,5,46995.0,0,Occasional / Lower-Value Customers
CUST0052,150050.0,8,18756.25,0,Occasional / Lower-Value Customers
CUST0053,92115.0,4,23028.75,0,Occasional / Lower-Value Customers
CUST0055,88560.0,4,22140.0,0,Occasional / Lower-Value Customers
CUST0056,151670.0,8,18958.75,0,Occasional / Lower-Value Customers
CUST0057,391140.0,10,39114.0,1,Frequent Customers
CUST0058,10440.0,4,2610.0,0,Occasional / Lower-Value Customers
CUST0059,316402.5,8,39550.3125,0,Occasional / Lower-Value Customers
CUST0060,80595.0,5,16119.0,0,Occasional / Lower-Value Customers
CUST0061,618530.0,17,36384.117647058825,1,Frequent Customers
CUST0062,223290.0,10,22329.0,0,Occasional / Lower-Value Customers
CUST0063,154370.0,8,19296.25,0,Occasional / Lower-Value Customers
CUST0064,226205.0,9,25133.88888888889,0,Occasional / Lower-Value Customers
CUST0065,386230.0,12,32185.833333333332,1,Frequent Customers
CUST0066,182830.0,9,20314.444444444445,0,Occasional / Lower-Value Customers
CUST0067,312840.0,14,22345.714285714286,1,Frequent Customers
CUST0068,199450.0,9,22161.11111111111,0,Occasional / Lower-Value Customers
CUST0069,30280.0,3,10093.333333333334,0,Occasional / Lower-Value Customers
CUST0070,19765.0,3,6588.333333333333,0,Occasional / Lower-Value Customers
CUST0071,155550.0,2,77775.0,2,High-AOV Customers
CUST0072,277280.0,7,39611.42857142857,0,Occasional / Lower-Value Customers
CUST0073,447555.0,20,22377.75,1,Frequent Customers
CUST0074,161100.0,7,23014.285714285714,0,Occasional / Lower-Value Customers
CUST0075,1322815.0,15,88187.66666666667,2,High-AOV Customers
CUST0076,101850.0,5,20370.0,0,Occasional / Lower-Value Customers
CUST0077,199917.5,11,18174.31818181818,1,Frequent Customers
CUST0078,26820.0,3,8940.0,0,Occasional / Lower-Value Customers
CUST0079,278045.0,16,17377.8125,1,Frequent Customers
CUST0080,821172.5,7,117310.35714285714,2,High-AOV Customers
CUST0081,962830.0,18,53490.555555555555,1,Frequent Customers
CUST0082,155870.0,5,31174.0,0,Occasional / Lower-Value Customers
CUST0083,478352.5,17,28138.382352941175,1,Frequent Customers
CUST0084,311355.0,3,103785.0,2,High-AOV Customers
CUST0085,45180.0,3,15060.0,0,Occasional / Lower-Value Customers
CUST0086,257930.0,5,51586.0,2,High-AOV Customers
CUST0087,246865.0,8,30858.125,0,Occasional / Lower-Value Customers
CUST0088,177587.5,11,16144.318181818182,1,Frequent Customers
CUST0089,533000.0,8,66625.0,2,High-AOV Customers
CUST0090,335840.0,12,27986.666666666668,1,Frequent Customers
CUST0091,157650.0,4,39412.5,0,Occasional / Lower-Value Customers
CUST0092,110600.0,6,18433.333333333332,0,Occasional / Lower-Value Customers
CUST0093,159820.0,5,31964.0,0,Occasional / Lower-Value Customers
CUST0094,154727.5,5,30945.5,0,Occasional / Lower-Value Customers
CUST0095,151167.5,5,30233.5,0,Occasional / Lower-Value Customers
CUST0096,177840.0,5,35568.0,0,Occasional / Lower-Value Customers
CUST0097,90940.0,4,22735.0,0,Occasional / Lower-Value Customers
CUST0098,237680.0,8,29710.0,0,Occasional / Lower-Value Customers
CUST0099,173260.0,8,21657.5,0,Occasional / Lower-Value Customers
CUST0100,426857.5,19,22466.184210526317,1,Frequent Customers
CUST0101,82230.0,3,27410.0,0,Occasional / Lower-Value Customers
CUST0102,209390.0,8,26173.75,0,Occasional / Lower-Value Customers
CUST0103,405425.0,17,23848.529411764706,1,Frequent Customers
CUST0104,193850.0,6,32308.333333333332,0,Occasional / Lower-Value Customers
CUST0105,225190.0,8,28148.75,0,Occasional / Lower-Value Customers
CUST0106,201520.0,13,15501.538461538461,1,Frequent Customers
CUST0107,27645.0,4,6911.25,0,Occasional / Lower-Value Customers
CUST0108,227290.0,9,25254.444444444445,0,Occasional / Lower-Value Customers
CUST0109,11850.0,4,2962.5,0,Occasional / Lower-Value Customers
CUST0110,97095.0,5,19419.0,0,Occasional / Lower-Value Customers
CUST0111,209480.0,9,23275.555555555555,0,Occasional / Lower-Value Customers
CUST0112,272215.0,10,27221.5,0,Occasional / Lower-Value Customers
CUST0113,506200.0,8,63275.0,2,High-AOV Customers
CUST0114,491277.5,17,28898.676470588234,1,Frequent Customers
CUST0115,13250.0,2,6625.0,0,Occasional / Lower-Value Customers
CUST0116,176040.0,3,58680.0,2,High-AOV Customers
CUST0117,179200.0,6,29866.666666666668,0,Occasional / Lower-Value Customers
CUST0118,44270.0,3,14756.666666666666,0,Occasional / Lower-Value Customers
CUST0119,631075.0,24,26294.791666666668,1,Frequent Customers
CUST0120,453657.5,10,45365.75,2,High-AOV Customers
CUST0121,140145.0,11,12740.454545454546,0,Occasional / Lower-Value Customers
CUST0122,90655.0,8,11331.875,0,Occasional / Lower-Value Customers
CUST0123,266065.0,5,53213.0,2,High-AOV Customers
CUST0124,46905.0,6,7817.5,0,Occasional / Lower-Value Customers
CUST0125,77390.0,6,12898.333333333334,0,Occasional / Lower-Value Customers
CUST0126,499087.5,13,38391.346153846156,1,Frequent Customers
CUST0127,121360.0,6,20226.666666666668,0,Occasional / Lower-Value Customers
CUST0128,467980.0,15,31198.666666666668,1,Frequent Customers
CUST0129,298000.0,3,99333.33333333333,2,High-AOV Customers
CUST0130,64970.0,6,10828.333333333334,0,Occasional / Lower-Value Customers
CUST0131,188635.0,8,23579.375,0,Occasional / Lower-Value Customers
CUST0132,93925.0,8,11740.625,0,Occasional / Lower-Value Customers
CUST0133,58400.0,4,14600.0,0,Occasional / Lower-Value Customers
CUST0134,5317.5,3,1772.5,0,Occasional / Lower-Value Customers
CUST0135,144710.0,6,24118.333333333332,0,Occasional / Lower-Value Customers
CUST0136,251455.0,7,35922.142857142855,0,Occasional / Lower-Value Customers
CUST0137,136230.0,10,13623.0,0,Occasional / Lower-Value Customers
CUST0138,208750.0,2,104375.0,2,High-AOV Customers
CUST0139,1060225.0,9,117802.77777777778,2,High-AOV Customers
CUST0140,83580.0,8,10447.5,0,Occasional / Lower-Value Customers
CUST0141,281065.0,13,21620.384615384617,1,Frequent Customers
CUST0142,277400.0,9,30822.222222222223,0,Occasional / Lower-Value Customers
CUST0143,266855.0,15,17790.333333333332,1,Frequent Customers
CUST0144,38110.0,5,7622.0,0,Occasional / Lower-Value Customers
CUST0145,101200.0,6,16866.666666666668,0,Occasional / Lower-Value Customers
CUST0146,258810.0,8,32351.25,0,Occasional / Lower-Value Customers
CUST0147,46300.0,4,11575.0,0,Occasional / Lower-Value Customers
CUST0148,159632.5,8,19954.0625,0,Occasional / Lower-Value Customers
CUST0149,51540.0,6,8590.0,0,Occasional / Lower-Value Customers
CUST0150,100620.0,5,20124.0,0,Occasional / Lower-Value Customers
CUST0151,226500.0,5,45300.0,0,Occasional / Lower-Value Customers
CUST0152,219257.5,14,15661.25,1,Frequent Customers
CUST0153,65000.0,2,32500.0,0,Occasional / Lower-Value Customers
CUST0154,95775.0,5,19155.0,0,Occasional / Lower-Value Customers
CUST0155,349937.5,16,21871.09375,1,Frequent Customers
CUST0156,193890.0,8,24236.25,0,Occasional / Lower-Value Customers
CUST0157,176200.0,14,12585.714285714286,1,Frequent Customers
CUST0158,331820.0,16,20738.75,1,Frequent Customers
CUST0159,176210.0,4,44052.5,0,Occasional / Lower-Value Customers
CUST0160,272275.0,18,15126.388888888889,1,Frequent Customers
CUST0161,247857.5,16,15491.09375,1,Frequent Customers
CUST0162,309820.0,12,25818.333333333332,1,Frequent Customers
CUST0163,152965.0,10,15296.5,0,Occasional / Lower-Value Customers
CUST0164,38010.0,4,9502.5,0,Occasional / Lower-Value Customers
CUST0165,322875.0,12,26906.25,1,Frequent Customers
CUST0166,547987.5,19,28841.447368421053,1,Frequent Customers
CUST0167,462780.0,11,42070.90909090909,1,Frequent Customers
CUST0168,286230.0,7,40890.0,0,Occasional / Lower-Value Customers
CUST0169,447070.0,18,24837.222222222223,1,Frequent Customers
CUST0170,6572975.0,16,410810.9375,3,High-Value Customers
CUST0171,312190.0,9,34687.77777777778,0,Occasional / Lower-Value Customers
CUST0172,172565.0,4,43141.25,0,Occasional / Lower-Value Customers
CUST0173,869360.0,12,72446.66666666667,2,High-AOV Customers
CUST0174,62640.0,5,12528.0,0,Occasional / Lower-Value Customers
CUST0175,167460.0,11,15223.636363636364,0,Occasional / Lower-Value Customers
CUST0176,110170.0,9,12241.111111111111,0,Occasional / Lower-Value Customers
CUST0177,641375.0,6,106895.83333333333,2,High-AOV Customers
CUST0178,105130.0,10,10513.0,0,Occasional / Lower-Value Customers
CUST0179,762395.0,8,95299.375,2,High-AOV Customers
CUST0180,23675.0,4,5918.75,0,Occasional / Lower-Value Customers
CUST0181,147517.5,10,14751.75,0,Occasional / Lower-Value Customers
CUST0182,99400.0,10,9940.0,0,Occasional / Lower-Value Customers
CUST0183,204000.0,8,25500.0,0,Occasional / Lower-Value Customers
CUST0184,90775.0,6,15129.166666666666,0,Occasional / Lower-Value Customers
